	1H_pinene_CDCl3	1H_benzyl_benzoate_CDCl3	1H_limonene_CDCl3_3	1H_pinene_benzylbenzoate_CDCl3	
0.476228	-0.000455564	1.92001e-05	-0.000290738	-0.000539321	
0.47635	-0.000420636	-0.000102974	-0.000510556	-0.000993967	
0.476472	-0.000171931	6.47977e-05	-0.000117666	-0.000913467	
0.476593	-0.000146227	0.000232629	0.00027528	-0.000832886	
0.476715	-0.000432109	0.000380918	0.000386794	-0.000802167	
0.476837	-0.000494922	0.000529215	0.000152277	-0.000771452	
0.476958	-0.000176651	0.00038749	-8.22409e-05	-0.000740737	
0.47708	0.000364689	0.000245772	2.92733e-05	-0.000710022	
0.477202	0.000613248	9.3177e-05	0.000281363	-0.00076434	
0.477323	0.000490021	-5.94184e-05	0.000533452	-0.000818659	
0.477445	0.000366796	-0.000212014	0.000288121	-0.000872981	
0.477566	0.000243641	-0.000364609	4.27901e-05	-0.000927299	
0.477688	0.000259833	-0.000125691	-0.000163793	-0.000701502	
0.47781	0.000276027	0.000113226	-0.000370375	-0.000475701	
0.477931	0.000515291	-0.000169873	-0.000194881	-0.000409972	
0.478053	0.000754556	-0.000452973	-1.93873e-05	-0.000104137	
0.478175	0.000673156	-0.000369929	2.27401e-05	2.66209e-05	
0.478296	0.000591755	-0.000286892	-0.000281164	-0.000242788	
0.478418	0.000510354	-0.000203855	-0.000585068	-0.000407156	
0.47854	0.000429025	-0.000120819	-0.000542941	-0.00033142	
0.478661	0.000635106	-0.00022991	-0.000291752	-0.000357918	
0.478783	0.000841256	-0.000339001	-4.05638e-05	-0.000384413	
0.478905	0.00082434	-0.0004481	-5.61085e-05	-0.000395902	
0.479026	0.000807419	-0.000557192	-7.16527e-05	-0.00040739	
0.479148	0.000748675	-0.000524908	-5.1152e-05	-0.00017878	
0.479269	0.000689929	-0.000492617	-3.06517e-05	4.98332e-05	
0.479391	0.000631185	-0.00017032	-1.0151e-05	3.83444e-05	
0.479513	0.000572439	0.000151969	1.03498e-05	2.68556e-05	
0.479634	0.000517108	2.11298e-05	0.000200261	7.41407e-05	
0.479756	0.000461847	-0.000109717	0.000390173	0.000121426	
0.479878	0.000406587	-0.000240557	0.000198009	-7.13877e-05	
0.479999	0.000351328	-0.000371404	5.84405e-06	-0.000264205	
0.480121	0.00017059	-0.000215866	-0.000103417	-8.68663e-05	
0.480243	-1.01458e-05	-6.03199e-05	0.000133353	9.04761e-05	
0.480364	3.21884e-05	-7.87899e-05	0.000218735	-0.000132352	
0.480486	7.45226e-05	-9.72524e-05	-4.19156e-05	-0.00035518	
0.480607	-5.39329e-05	-0.00013566	-0.000443141	-0.00016221	
0.480729	-0.000182316	-0.00017406	-0.000498335	3.08417e-05	
0.480851	-0.000310699	-3.84599e-05	-0.000481439	-0.000336424	
0.480972	-0.000439079	9.71407e-05	-0.000464543	-0.00070361	
0.481094	-0.000321155	-0.000115268	-0.000469273	-0.000660703	
0.481216	-0.000203229	-0.000327677	-0.000474005	-0.000617716	
0.481337	-0.000308374	-3.98159e-05	-0.00030572	-0.000574805	
0.481459	-0.00041352	0.000248037	-0.000137435	-0.000531819	
0.481581	-0.000327036	0.000131696	-0.000325995	-0.000527676	
0.481702	-0.000240481	-0.000332661	-0.000514555	-0.000523455	
0.481824	6.91488e-05	-0.000753514	-0.000530099	-0.000519313	
0.481946	0.000378776	-0.000594348	-0.000545644	-0.000515092	
0.482067	0.000367738	-0.000369929	-0.000373755	-0.000420913	
0.482189	0.000356702	-0.000145517	-0.000201865	-0.000326652	
0.48231	0.000345664	-0.000174858	-2.99755e-05	-0.000617638	
0.482432	0.000334626	-0.000204198	0.000141914	-0.000908542	
0.482554	0.000358444	-0.000106201	3.03998e-05	-0.000798728	
0.482675	0.000382261	-8.21054e-06	-8.11145e-05	-0.000448737	
0.482797	0.000183009	-0.000200227	-0.000192629	-0.000248887	
0.482919	-1.6246e-05	-0.000392251	-0.000304142	-0.000449128	
0.48304	0.00011446	-0.000475511	-0.000480538	-0.000579417	
0.483162	0.000245165	-0.000558779	-0.000656933	-0.000709631	
0.483284	0.000375872	-0.000468038	-0.000544968	-0.000624828	
0.483405	0.000506651	-0.000377297	-0.000433004	-0.000539947	
0.483527	0.000564162	-0.000177801	-4.52949e-05	-0.000401374	
0.483648	0.000621673	2.16961e-05	0.000342414	-0.000262722	
0.48377	0.000679182	4.71845e-05	0.000427345	-0.000524316	
0.483892	0.000736766	7.2673e-05	0.000166244	-0.000785835	
0.484013	0.00077104	-5.40912e-05	-0.000188573	-0.000922374	
0.484135	0.000805315	-0.000180855	-0.000197359	-0.00105884	
0.484257	0.000839587	-0.000133619	-1.87117e-05	-0.000635143	
0.484378	0.000873934	-8.6382e-05	0.000159936	-0.000211369	
0.4845	0.000986777	0.000121042	-7.66651e-05	-0.000212777	
0.484622	0.00109969	0.000328474	-0.000313267	-0.000214107	
0.484743	0.000864059	1.38804e-05	-0.000376852	-0.000215512	
0.484865	0.000628425	-0.000300713	-0.000440438	-0.000216842	
0.484987	0.000406733	-0.000198416	-0.000540068	-0.000278275	
0.485108	0.000556827	-9.61199e-05	-0.000639699	-0.000339627	
0.48523	0.000846341	6.17653e-06	-0.000335626	-0.000401061	
0.485351	0.000912782	0.000108473	-3.15527e-05	-0.000462417	
0.485473	0.000598073	0.000103824	4.88665e-06	-0.000213716	
0.485595	0.000283433	9.91821e-05	4.1326e-05	3.50624e-05	
0.485716	0.000326639	-0.000195473	-9.5251e-05	-0.000261471	
0.485838	0.000369845	-0.000490129	-0.000231828	-0.000557926	
0.48596	0.000134211	-0.000404142	-0.000440494	-0.000629362	
0.486081	-0.000101423	-0.000318162	-0.000649161	-0.000460617	
0.486203	-0.000113985	-0.000232175	-0.000569467	-0.000276946	
0.486325	-0.000126548	-0.000146195	-0.000489774	-0.000333298	
0.486446	7.57165e-06	-9.64627e-05	-0.00054356	-0.00043162	
0.486568	0.00014169	-4.673e-05	-0.000597346	-0.000289764	
0.486689	5.27371e-05	3.00258e-06	-0.000478116	-0.000137981	
0.486811	-3.62154e-05	5.27352e-05	-0.000358886	-0.000226222	
0.486933	3.74876e-05	-6.06626e-05	-0.000293723	-0.000484612	
0.487054	0.000111192	-0.00017406	-0.000228561	-0.000342753	
0.487176	0.000184895	-0.000287458	-0.000163398	9.41493e-05	
0.487298	0.000258673	-0.000400856	-9.82359e-05	0.000291031	
0.487419	2.68146e-05	-5.47692e-05	-0.000372797	0.00010892	
0.487541	-0.000205044	0.00029131	-0.000647358	-7.31088e-05	
0.487663	-6.51162e-05	0.00011538	-0.000712859	0.00011494	
0.487784	7.48131e-05	-6.05509e-05	-0.000432327	0.000303067	
0.487906	8.46144e-05	-0.000113226	-0.000270745	0.000406079	
0.488028	9.44175e-05	-0.000165902	-0.000109162	0.000269067	
0.488149	0.000104221	-0.000218585	-0.000214312	4.19393e-05	
0.488271	0.000114096	-0.000271261	-0.000319462	0.000215061	
0.488392	-0.000121538	-0.000152878	-0.000335231	0.000519097	
0.488514	-0.000357099	-3.44962e-05	-0.000351001	0.000823133	
0.488636	-0.000360293	-9.01148e-05	-0.000193755	0.000431873	
0.488757	-0.000140417	-0.000145741	-3.65088e-05	4.06131e-05	
0.488879	6.54459e-05	-0.000114359	-5.58831e-05	5.45233e-05	
0.489001	4.83077e-05	-8.29771e-05	-7.52569e-05	6.84373e-05	
0.489122	-5.248e-05	-5.16027e-05	-9.46312e-05	8.23475e-05	
0.489244	-0.00015327	-2.02209e-05	-0.000114006	9.62615e-05	
0.489366	-0.000171641	1.20625e-05	-0.000277559	0.000170197	
0.489487	-0.00018994	4.43533e-05	-0.000441113	0.000244137	
0.489609	8.90344e-07	9.83924e-05	-0.000431652	0.000318073	
0.48973	0.000191722	-0.000195585	-0.00042219	0.000392012	
0.489852	0.000140892	-0.000551187	-0.000376683	0.000345897	
0.489974	-0.00013301	-0.000906788	-0.000331176	0.000299785	
0.490095	-0.000406912	-0.000762127	-0.00028567	0.00025367	
0.490217	-0.000457743	-0.000617459	-0.000240163	0.000207558	
0.490339	-0.000400232	-0.000680782	4.56059e-05	0.000325575	
0.49046	-0.000342721	-0.000744112	0.000331375	0.000443596	
0.490582	-0.000145791	-0.000633433	0.000213441	0.000561614	
0.490704	-0.000171931	-0.000522755	9.55057e-05	0.000679635	
0.490825	-0.000281725	-0.000212692	-0.000199049	0.000677601	
0.490947	-0.000391519	9.73716e-05	-0.000493604	0.00067557	
0.491069	-0.000143467	0.000117421	-0.000589912	0.000673536	
0.49119	0.000104656	0.000137471	-0.000340187	0.000671506	
0.491312	4.71454e-05	0.000137582	-6.52322e-05	0.000574432	
0.491433	-1.03638e-05	0.000137702	3.67076e-05	0.000477359	
0.491555	-6.78748e-05	0.000137813	8.45799e-05	0.000405297	
0.491677	-0.000125386	0.000137925	0.000132452	0.000333235	
0.491798	-0.000155013	1.84104e-05	0.000162302	0.000316199	
0.49192	-0.000184638	-0.000101104	0.000192151	0.00069933	
0.492042	-5.13718e-06	-0.000220619	-4.47314e-05	0.00109747	
0.492163	0.000174439	-0.000340134	-0.000281615	0.00109544	
0.492285	0.000237759	-0.000352487	-0.000387328	0.000872839	
0.492407	7.80076e-05	-0.000364833	-0.000147009	0.000890426	
0.492528	-8.1744e-05	-0.000377178	0.000169004	0.00114803	
0.49265	-1.84253e-05	-0.000389531	0.000312001	0.00140572	
0.492771	0.00017502	-0.000358373	0.000213497	0.00115312	
0.492893	0.000368465	-0.000327222	0.000114993	0.000900585	
0.493015	0.000352781	-0.000296071	5.67501e-06	0.000888079	
0.493136	0.000337096	-0.000264913	-0.000103643	0.000875656	
0.493258	0.000351619	-0.000273637	-0.000160695	0.000663064	
0.49338	0.000366142	-0.000282362	-0.000217747	0.000450552	
0.493501	0.000380665	-0.000291087	-0.0002748	0.000548095	
0.493623	0.000395188	-0.000299811	-0.000331852	0.00104588	
0.493745	0.000177344	-0.000283152	-0.000327628	0.00125847	
0.493866	-4.04995e-05	-0.0002665	-0.000323404	0.00107097	
0.493988	-3.5271e-05	-0.000249848	-0.00031918	0.000758339	
0.49411	-2.997e-05	-0.000233196	-0.000314956	0.000685886	
0.494231	-3.84655e-05	-0.000122741	-0.0001251	0.000754979	
0.494353	-4.68902e-05	-1.22935e-05	6.47549e-05	0.000824146	
0.494474	-5.53131e-05	-0.000191845	8.15946e-05	0.000668142	
0.494596	-6.3736e-05	-0.000371404	9.84347e-05	0.00051222	
0.494718	-5.35697e-05	-0.000478461	2.5162e-05	0.000466261	
0.494839	-4.34034e-05	-0.000585511	-4.81107e-05	0.00042038	
0.494961	5.04144e-05	-0.000402555	-0.000121383	0.000134323	
0.495083	0.000367302	-0.000219606	-0.000194656	-0.000151657	
0.495204	0.000517979	-0.00019706	-0.00031659	3.74839e-05	
0.495326	0.000445655	-0.000174515	-0.000438523	0.000226706	
0.495448	0.000289679	-0.000173725	-0.000441508	0.000175748	
0.495569	0.000133703	-0.000172928	-0.000617509	-0.000115234	
0.495691	0.000103204	0.000204876	-0.000775487	-0.000276241	
0.495812	7.27065e-05	0.000234671	-0.000587434	-3.69996e-05	
0.495934	4.22075e-05	-6.17951e-05	-0.000211946	9.71183e-05	
0.496056	1.17105e-05	-0.000358261	0.000163541	-8.78423e-06	
0.496177	-5.35324e-06	-0.000283383	0.000120963	-0.000281714	
0.496299	-2.24188e-05	-0.000208497	-9.46312e-05	-0.000554562	
0.496421	-0.000164961	-0.000133619	-0.000148023	-0.00044233	
0.496542	-8.44318e-05	-5.87404e-05	-2.83988e-05	-0.000330016	
0.496664	7.45058e-07	-2.73585e-05	2.27401e-05	-0.000442874	
