,Mieszanina_perfumy_bez menthonu
0.0685331,0.00161877
0.0702889,0.00162357
0.0720447,0.00162083
0.0738006,0.00161809
0.0755564,0.00163324
0.0773122,0.0016484
0.0790681,0.00163844
0.0808239,0.00162849
0.0825797,0.00160185
0.0843356,0.00157521
0.0860914,0.00157493
0.0878472,0.00160478
0.0896031,0.00163776
0.0913589,0.00164062
0.0931147,0.00161712
0.0948706,0.00159362
0.0966264,0.0015811
0.0983822,0.00156858
0.100138,0.00157112
0.101894,0.00157367
0.10365,0.00158186
0.105406,0.00159006
0.107161,0.00158319
0.108917,0.00157632
0.110673,0.00156144
0.112429,0.00154657
0.114185,0.00156685
0.115941,0.00158712
0.117696,0.00159955
0.119452,0.00161198
0.121208,0.00162253
0.122964,0.00163308
0.12472,0.00164268
0.126476,0.00162216
0.128231,0.00160353
0.129987,0.00158489
0.131743,0.00158037
0.133499,0.00157586
0.135255,0.0015795
0.137011,0.00161327
0.138766,0.00163636
0.140522,0.00165945
0.142278,0.00165932
0.144034,0.00165918
0.14579,0.00167945
0.147546,0.00169971
0.149301,0.00169895
0.151057,0.00167309
0.152813,0.00164126
0.154569,0.00160943
0.156325,0.00160616
0.158081,0.001628
0.159836,0.00165297
0.161592,0.00166288
0.163348,0.00165867
0.165104,0.00165446
0.16686,0.00167744
0.168616,0.00171548
0.170371,0.00173972
0.172127,0.00172881
0.173883,0.00170221
0.175639,0.00167561
0.177395,0.00167192
0.179151,0.00166822
0.180906,0.00169121
0.182662,0.00171419
0.184418,0.00172211
0.186174,0.00173003
0.18793,0.0017141
0.189686,0.00169816
0.191441,0.0016973
0.193197,0.00169643
0.194953,0.00169899
0.196709,0.00170155
0.198465,0.00171917
0.200221,0.00173679
0.201976,0.00173213
0.203732,0.00172748
0.205488,0.00172282
0.207244,0.00171816
0.209,0.00174049
0.210756,0.00176282
0.212511,0.00177009
0.214267,0.00177735
0.216023,0.00176736
0.217779,0.00175737
0.219535,0.00176244
0.221291,0.00176751
0.223046,0.00176625
0.224802,0.001765
0.226558,0.00174868
0.228314,0.00173236
0.23007,0.00173597
0.231826,0.00173958
0.233581,0.00175072
0.235337,0.00176186
0.237093,0.00175856
0.238849,0.00175527
0.240605,0.00176704
0.242361,0.0017788
0.244116,0.00178932
0.245872,0.00179983
0.247628,0.00181034
0.249384,0.00182086
0.25114,0.00181838
0.252895,0.00181591
0.254651,0.00182097
0.256407,0.00182603
0.258163,0.00184412
0.259919,0.0018622
0.261675,0.00186522
0.26343,0.00186824
0.265186,0.00187236
0.266942,0.00187648
0.268698,0.0018806
0.270454,0.00188472
0.27221,0.0018857
0.273965,0.00188668
0.275721,0.00190272
0.277477,0.00191876
0.279233,0.00191496
0.280989,0.00191115
0.282745,0.00190735
0.2845,0.00190354
0.286256,0.00191935
0.288012,0.00193516
0.289768,0.0019585
0.291524,0.00198184
0.29328,0.00199482
0.295035,0.00200781
0.296791,0.00200573
0.298547,0.00200365
0.300303,0.00200487
0.302059,0.00200608
0.303815,0.00199224
0.30557,0.00197839
0.307326,0.00200488
0.309082,0.00203136
0.310838,0.00202835
0.312594,0.00200024
0.31435,0.00197244
0.316105,0.00196974
0.317861,0.00197489
0.319617,0.00196497
0.321373,0.00195435
0.323129,0.00194373
0.324885,0.00195633
0.32664,0.00196894
0.328396,0.00196898
0.330152,0.00195397
0.331908,0.00194837
0.333664,0.00196788
0.33542,0.00200747
0.337175,0.00204706
0.338931,0.00207315
0.340687,0.00209925
0.342443,0.00209867
0.344199,0.00209809
0.345955,0.00210692
0.34771,0.00214087
0.349466,0.0021743
0.351222,0.00218262
0.352978,0.00217149
0.354734,0.00216036
0.35649,0.00216853
0.358245,0.0021767
0.360001,0.00217734
0.361757,0.00217797
0.363513,0.00219053
0.365269,0.00220308
0.367025,0.00220057
0.36878,0.00219806
0.370536,0.00220794
0.372292,0.00221783
0.374048,0.00222771
0.375804,0.0022376
0.37756,0.00223807
0.379315,0.00223854
0.381071,0.00223901
0.382827,0.00223948
0.384583,0.00225141
0.386339,0.00226333
0.388095,0.00225015
0.38985,0.00223697
0.391606,0.00224835
0.393362,0.00225972
0.395118,0.00227863
0.396874,0.00229754
0.39863,0.00231911
0.400385,0.00234069
0.402141,0.0023472
0.403897,0.00235371
0.405653,0.00236387
0.407409,0.00237403
0.409165,0.00238419
0.41092,0.00239435
0.412676,0.00241471
0.414432,0.00243506
0.416188,0.00244036
