,mieszanina_metabolitow
-1.88118,5.69168E-05
-1.88106,0.000255352
-1.88094,9.92906E-05
-1.88082,-5.67711E-05
-1.8807,1.75904E-05
-1.88057,9.19513E-05
-1.88045,-4.63855E-05
-1.88033,-0.000184722
-1.88021,1.01123E-05
-1.88009,0.000204947
-1.87997,4.52851E-05
-1.87985,-0.000114377
-1.87972,0.00012477
-1.8796,0.000363916
-1.87948,0.000390365
-1.87936,0.000416813
-1.87924,6.60564E-05
-1.87912,-0.000284701
-1.87899,2.63471E-06
-1.87887,0.000289971
-1.87875,0.000191792
-1.87863,9.36128E-05
-1.87851,-4.56581E-06
-1.87839,-0.000102744
-1.87826,0.000171297
-1.87814,0.000445339
-1.87802,8.12886E-05
-1.8779,-0.000282762
-1.87778,-0.000103991
-1.87766,7.47805E-05
-1.87753,0.000147203
-1.87741,0.000219625
-1.87729,8.4335E-05
-1.87717,-5.0955E-05
-1.87705,-0.000186245
-1.87693,-0.000321535
-1.8768,-0.000221971
-1.87668,-0.000122408
-1.87656,-0.000129194
-1.87644,-0.000135979
-1.87632,-0.000245235
-1.8762,-0.000354492
-1.87607,-0.000109253
-1.87595,0.000135986
-1.87583,0.000108707
-1.87571,8.14269E-05
-1.87559,5.41476E-05
-1.87547,2.68682E-05
-1.87534,-0.000150518
-1.87522,-0.000327905
-1.8751,-0.000150796
-1.87498,2.63141E-05
-1.87486,-7.57421E-05
-1.87474,-0.000177798
-1.87461,-6.71567E-05
-1.87449,4.34848E-05
-1.87437,-6.53565E-05
-1.87425,-0.000174198
-1.87413,-7.03414E-05
-1.87401,3.35146E-05
-1.87388,-0.000110776
-1.87376,-0.000255067
-1.87364,-0.00018666
-1.87352,-0.000118254
-1.8734,2.88067E-05
-1.87328,0.000175867
-1.87315,-3.15686E-05
-1.87303,-0.000239004
-1.87291,5.42859E-05
-1.87279,0.000347576
-1.87267,0.00028637
-1.87255,0.000225164
-1.87243,0.000212702
-1.8723,0.000200239
-1.87218,0.000187776
-1.87206,0.000175313
-1.87194,0.000114107
-1.87182,5.29015E-05
-1.8717,-8.3046E-06
-1.87157,-6.95107E-05
-1.87145,0.00015565
-1.87133,0.00038081
-1.87121,0.000605971
-1.87109,0.000831131
-1.87097,0.000566644
-1.87084,0.000302156
-1.87072,0.000144018
-1.8706,-1.41207E-05
-1.87048,-8.2389E-05
-1.87036,-0.000150657
-1.87024,-6.22775E-06
-1.87011,0.000138202
-1.86999,0.00014748
-1.86987,0.000156757
-1.86975,0.000166035
-1.86963,0.000175313
-1.86951,-0.000156611
-1.86938,-0.000488536
-1.86926,-0.000324166
-1.86914,-0.000159796
-1.86902,3.55919E-05
-1.8689,0.00023098
-1.86878,7.18725E-05
-1.86865,-8.72356E-05
-1.86853,7.99038E-05
-1.86841,0.000247043
-1.86829,0.000201485
-1.86817,0.000155927
-1.86805,0.000203424
-1.86792,0.000250921
-1.8678,8.57199E-05
-1.86768,-7.94809E-05
-1.86756,5.55324E-05
-1.86744,0.000190545
-1.86732,0.000325559
-1.86719,0.000460572
-1.86707,0.000358515
-1.86695,0.00025646
-1.86683,0.000154404
-1.86671,5.23473E-05
-1.86659,-7.47386E-06
-1.86646,-6.7295E-05
-1.86634,-2.07676E-05
-1.86622,2.57604E-05
-1.8661,-3.40608E-05
-1.86598,-9.38824E-05
-1.86586,-4.73545E-05
-1.86573,-8.27014E-07
-1.86561,-0.00011493
-1.86549,-0.000229034
-1.86537,-0.00013044
-1.86525,-3.18452E-05
-1.86513,5.56707E-05
-1.86501,0.000143187
-1.86488,0.000230703
-1.86476,0.000318219
-1.86464,0.000391334
-1.86452,0.000464449
-1.8644,0.000183068
-1.86428,-9.83132E-05
-1.86415,0.000138756
-1.86403,0.000375825
-1.86391,0.0001166
-1.86379,-0.000142626
-1.86367,-1.19051E-05
-1.86355,0.000118815
-1.86342,3.6838E-05
-1.8633,-4.51389E-05
-1.86318,5.81983E-06
-1.86306,5.67785E-05
-1.86294,-0.00010496
-1.86282,-0.000266699
-1.86269,-4.98472E-05
-1.86257,0.000167005
-1.86245,0.000295233
-1.86233,-1.93482E-06
-1.86221,-5.98175E-05
-1.86209,0.000307695
-1.86196,0.00046251
-1.86184,0.00019193
-1.86172,-0.00012407
-1.8616,-1.46744E-05
-1.86148,0.000280831
-1.86136,0.000150942
-1.86123,-0.000118531
-1.86111,-0.000388003
-1.86099,-0.000187768
-1.86087,1.24667E-05
-1.86075,1.60672E-05
-1.86063,1.96672E-05
-1.8605,0.000129616
-1.86038,0.000239566
-1.86026,0.000163404
-1.86014,8.7243E-05
-1.86002,-9.52668E-05
-1.8599,-0.000277777
-1.85977,-0.0002775
-1.85965,-0.000277223
-1.85953,-9.08356E-05
-1.85941,9.55514E-05
-1.85929,0.000202178
-1.85917,-0.000116592
-1.85904,-0.00054171
-1.85892,-0.000541433
-1.8588,-0.000250359
-1.85868,4.07156E-05
-1.85856,0.000145679
-1.85844,0.000250644
-1.85831,0.000216025
-1.85819,0.000181406
-1.85807,0.000146787
-1.85795,0.000112168
-1.85783,0.000217686
-1.85771,0.000323204
-1.85759,0.000100814
-1.85746,-0.000121577
-1.85734,-0.000368339
-1.85722,-0.000189707
-1.8571,-0.00014401
-1.85698,-9.83132E-05
-1.85686,-0.000250359
-1.85673,-0.000402404
-1.85661,-0.000199954
-1.85649,2.49641E-06
-1.85637,5.87171E-05
-1.85625,0.000114938
-1.85613,6.48103E-05
-1.856,1.46823E-05
-1.85588,0.000314065
-1.85576,0.000613448
-1.85564,0.00054061
-1.85552,4.2377E-05
-1.8554,-0.000280824
-1.85527,-0.000178629
-1.85515,0.000251474
-1.85503,0.000256183
-1.85491,-0.000124831
-1.85479,-0.000505846
-1.85467,-0.000399427
-1.85454,0.000132386
-1.85442,0.000345153
-1.8543,0.000132524
-1.85418,-0.000266214
-1.85406,-0.000239558
-1.85394,0.000148241
-1.85381,0.00053604
-1.85369,0.000170536
-1.85357,-0.000194969
-1.85345,-1.1005E-05
-1.85333,0.000172959
-1.85321,2.42703E-06
-1.85308,-0.000168105
-1.85296,6.7926E-05
-1.85284,0.000303957
-1.85272,0.000185491
-1.8526,6.70259E-05
-1.85248,0.000132455
-1.85235,0.000197885
-1.85223,0.00017469
-1.85211,-0.0002739
-1.85199,-0.000321466
-1.85187,5.63632E-05
-1.85175,0.000327843
-1.85162,0.000173929
-1.8515,-4.42388E-05
-1.85138,0.000162989
-1.85126,0.000370217
-1.85114,0.00015205
-1.85102,-0.000203832
-1.85089,-0.000134317
-1.85077,2.38214E-05
-1.85065,0.00018196
-1.85053,0.000282493
-1.85041,0.000383026
-1.85029,0.000394934
-1.85017,-1.85519E-05
-1.85004,-0.000409882
-1.84992,-0.000375818
-1.8498,0.000127955
-1.84968,0.000206332
-1.84956,-6.09253E-05
-1.84944,-0.000328182
